"key";"title"
"5849485c-483f-437e-992f-431dbacbe794";"Herbarium of Pablo de Olavide University (Seville)"
"c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b";"Instituto Nacional de Pesquisas da Amazônia - INPA"
"f5fd374b-89cb-4ab6-b3eb-794c65f232c3";"Sistema de Informação sobre a Biodiversidade Brasileira - SiBBr"
"2053a639-84c3-4be5-b8bc-96b6d88a976c";"VertNet"
"f1ef55ab-8775-4565-af42-af4125ad09eb";"Local Governments for Sustainability (ICLEI)"
"979dd240-16f7-11df-b5b3-b8a03c50a862";"Administración de Parques Nacionales, Argentina"
"707f5e4c-ae29-4013-bc49-409e44f95243";"Museu de História Natural da Universidade do Porto"
"af290483-8639-4b58-87fb-a4824c65e577";"SCAR - Microbial Antarctic Resource System"
"3988de20-0560-11d8-b851-b8a03c50a862";"Arctos"
"898ba450-1627-11df-bd84-b8a03c50a862";"Taiwan Forestry Research Institute"
"88e72a7e-1b18-420f-ab67-9d423addab8c";"Institute of Biology of the Southern Seas National Academy of Science of Ukraine"
"e18ccd87-6e1d-4e4d-850d-b3138d007eb7";"University of Lethbridge"
"b126d06c-83d3-491b-993b-daa1dc19390b";"Essig Museum of Entomology"
"7aabc1d3-a2c5-4e57-9082-8a5d5f35e7d2";"Laboratorio de Recursos Naturales y Vida Silvestre (LARNAVISI). Universidad Nacional de Costa Rica (UNA)"
"6b4fc310-4452-11de-87a1-b8a03c50a862";"Bioresource Collection and Research Center (BCRC)"
"c9e7382a-cfc3-45f3-85d9-2d2a640603fd";"Institut Ruđer Bošković, Center for Marine Research"
"833f0d81-717d-4f11-95b0-0f738545adad";"Friedrich-Alexander University of Erlangen-Nürnberg"
"779b1aa0-afeb-4186-9464-a1ab1286d8c8";"WWF - Tanzania"
"40ece160-5362-11de-a160-d8aa0ee066b0";"Endangered Wildlife Trust"
"a2fa5b68-3ebf-4845-abc5-f456d251386f";"Chinese Academy of Sciences (CAS)"
"045f6b80-812c-11de-86fd-b8a03c50a862";"Alabama Museum of Natural History"
"719e2ab0-91c8-11dc-8602-b8a03c50a862";"York University"
"06bbd2a0-671b-11d8-b9b2-b8a03c50a862";"Australian National Insect Collection, CSIRO Entomology"
"335880a0-e2e1-11dd-8102-b8a03c50a862";"Conservation International"
