100   "Failed"
101   "Failed"
103   "Failed"
104   "Failed"
109   "Failed"
111   "Failed"
112   "Failed"
116   "Failed"
118   "Failed"
119   "Failed"
120   1119   "Abudefduf saxatilis"
120   1120   "Abudefduf taurus"
120   89   "Acanthocybium solandri"
120   1800   "Acanthurus monroviae"
120   1250   "Aetobatus narinari"
120   9155   "Ahliesaurus berryi"
120   228   "Albula vulpes"
120   1888   "Alectis alexandrinus"
120   988   "Alectis ciliaris"
120   9172   "Alepocephalus australis"
120   5071   "Alepocephalus rostratus"
120   11092   "Alestes liebrechtsii"
120   1081   "Aluterus schoepfii"
120   9406   "Amphilius brevis"
120   9420   "Andersonia leptura"
120   5072   "Antennarius pardalis"
120   5474   "Antennarius striatus"
120   1692   "Anthias anthias"
120   3258   "Antigonia capros"
120   8383   "Aplocheilichthys hutereaui"
120   1693   "Apogon imberbis"
120   86   "Apsilus fuscus"
120   40   "Argyropelecus affinis"
120   2082   "Argyropelecus gigas"
120   6968   "Argyropelecus hemigymnus"
120   7392   "Argyropelecus sladeni"
120   418   "Argyrosomus regius"
120   961   "Ariomma bondi"
120   3916   "Ariomma melanum"
120   1744   "Ariosoma balearicum"
120   11810   "Aristostomias xenostoma"
120   4945   "Arius gigas"
120   4928   "Arius heudelotii"
120   4929   "Arius latiscutatus"
120   8829   "Arnoglossus capensis"
120   42   "Arnoglossus imperialis"
120   41   "Arnoglossus laterna"
120   9174   "Asquamiceps caeruleus"
120   11694   "Astronesthes caulophorus"
120   5131   "Astronesthes macropogon"
120   11698   "Astronesthes micropogon"
120   5044   "Astronesthes niger"
120   10153   "Astronesthes richardsoni"
120   9282   "Bagrus filamentosus"
120   4931   "Balistes punctatus"
120   11300   "Barbantus curvifrons"
120   5308   "Barbus anema"
120   2417   "Barbus leonensis"
120   5307   "Barbus pumilus"
120   11498   "Barbus trispilopleura"
120   11508   "Barbus yeiensis"
120   9077   "Bascanichthys ceciliae"
120   11721   "Bathophilus brevis"
120   1699   "Bathophilus nigerrimus"
120   11726   "Bathophilus pawneei"
120   8433   "Bathygadus favosus"
120   5479   "Bathygadus macrops"
120   5045   "Bathygadus melanobranchus"
120   22729   "Bathygobius burtoni"
120   9129   "Bathymicrops regis"
120   9136   "Bathypterois grallator"
120   9147   "Bathypterois quadrifilis"
120   23795   "Bathyraja hesperafricana"
120   11843   "Bathysaurus mollis"
120   10772   "Bathytroctes michaelsarsi"
120   10764   "Bathytroctes microlepis"
120   9061   "Bathyuroconger vicinus"
120   4933   "Batrachoides liberiensis"
120   10198   "Bembrops greyi"
120   8563   "Benthodesmus tenuis"
120   6589   "Benthosema suborbitale"
120   11876   "Bolinichthys photothorax"
120   7407   "Bolinichthys supralateralis"
